,Area,LC4402_C_TYPACCOM,QS420EW_CELL,LC4402_C_TENHUK11,LC4408_C_AHTHUK11,LC4404EW_C_SIZHUK11,LC4404EW_C_ROOMS,LC4405EW_C_BEDROOMS,LC4408EW_C_PPBROOMHEW11,LC4402_C_CENHEATHUK11,LC4601EW_C_ECOPUK11,LC4202EW_C_ETHHUK11,LC4202EW_C_CARSNO
28,E00000001,5,-2,2,3,2,5,2,2,2,11,2,2
29,E00000001,5,-2,2,2,2,5,2,2,2,5,2,1
30,E00000001,5,-2,2,2,2,5,2,2,2,14,2,2
31,E00000001,5,-2,2,2,2,5,3,2,2,14,2,1
32,E00000001,5,-2,2,3,2,5,3,2,2,8,2,1
33,E00000001,5,-2,2,2,2,5,3,2,2,14,2,2
34,E00000001,5,-2,2,2,2,5,3,2,2,14,2,1
35,E00000001,5,-2,2,2,2,5,3,2,2,5,2,2
36,E00000001,5,-2,2,3,2,5,3,2,2,7,2,1
37,E00000001,5,-2,2,2,2,5,3,2,2,14,2,1
38,E00000001,5,-2,2,2,2,5,3,2,2,14,3,1
39,E00000001,5,-2,2,2,2,5,3,2,2,7,2,2
40,E00000001,5,-2,2,2,2,5,3,2,2,5,2,3
41,E00000001,5,-2,2,2,2,5,3,2,1,5,2,2
42,E00000001,5,-2,2,2,2,5,3,2,2,14,2,2
43,E00000001,5,-2,2,2,2,6,2,2,2,5,2,1
44,E00000001,5,-2,2,2,2,6,3,2,2,7,2,2
45,E00000001,5,-2,2,4,2,6,3,2,2,5,2,1
46,E00000001,5,-2,2,2,2,6,3,2,2,14,4,1
47,E00000001,5,-2,2,2,3,6,3,2,2,7,6,2
48,E00000001,5,-2,2,2,4,4,3,3,2,14,2,2
49,E00000001,5,-2,2,2,4,5,3,3,2,5,2,2
50,E00000001,5,-2,2,2,4,6,2,4,2,8,2,2
51,E00000001,5,-2,3,1,1,4,3,1,2,14,2,2
52,E00000001,5,-2,3,1,1,5,2,1,2,8,2,2
53,E00000001,5,-2,3,1,1,5,2,1,2,8,4,1
54,E00000001,5,-2,3,1,1,5,3,1,2,5,2,2
55,E00000001,5,-2,3,1,1,5,3,1,2,5,2,2
56,E00000001,5,-2,3,1,1,6,3,1,2,8,2,2
57,E00000001,5,-2,3,2,2,4,3,2,2,5,5,3
58,E00000001,5,-2,3,2,2,5,2,2,2,8,2,2
59,E00000001,5,-2,3,2,2,5,3,2,2,7,2,3
60,E00000001,5,-2,3,2,2,5,3,2,2,5,2,2
61,E00000001,5,-2,3,3,2,5,3,2,2,5,2,3
62,E00000001,5,-2,3,2,2,5,3,2,2,17,2,3
63,E00000001,5,-2,3,2,2,5,3,2,2,14,2,2
64,E00000001,5,-2,3,2,2,6,2,2,2,5,2,1
65,E00000001,5,-2,3,2,2,6,3,2,2,5,2,2
66,E00000001,5,-2,3,2,2,6,3,2,2,8,3,1
67,E00000001,5,-2,3,2,3,5,3,2,2,8,2,1
68,E00000001,5,-2,3,2,3,6,3,2,2,14,2,2
69,E00000001,5,-2,3,4,4,6,3,3,2,5,2,1
70,E00000001,5,-2,3,2,4,6,3,3,2,9,8,1
71,E00000001,5,-2,3,2,4,6,4,2,2,14,2,1
72,E00000001,5,-2,5,1,1,5,2,1,2,8,2,2
73,E00000001,5,-2,5,1,1,5,3,1,2,14,2,1
74,E00000001,5,-2,5,1,1,6,3,1,2,14,2,1
75,E00000001,5,-2,5,1,1,6,3,1,2,8,2,1
76,E00000001,5,-2,5,2,2,3,2,2,2,4,2,1
77,E00000001,5,-2,5,2,2,5,1,4,2,17,2,1
78,E00000001,5,-2,5,2,2,5,2,2,2,5,2,1
79,E00000001,5,-2,5,2,2,6,3,2,2,5,4,3
80,E00000001,5,-2,5,2,2,6,3,2,2,5,6,2
81,E00000001,5,-2,5,4,3,4,2,3,2,14,2,1
82,E00000001,5,-2,5,2,3,4,2,3,2,14,2,2
83,E00000001,5,-2,5,4,4,5,3,3,2,14,2,2
84,E00000001,5,-2,5,2,4,6,4,2,2,5,2,1
85,E00000001,5,-2,6,1,1,5,3,1,2,5,2,2
86,E00000001,5,-2,6,1,1,5,3,1,2,5,2,3
87,E00000001,5,-2,6,1,1,5,3,1,2,5,2,1
88,E00000001,5,-2,6,5,2,3,3,2,2,5,2,1
89,E00000001,5,-2,6,4,2,5,3,2,2,7,4,2
90,E00000001,5,-2,6,3,2,5,3,2,2,8,2,2
91,E00000001,5,-2,6,2,2,6,1,4,2,14,2,2
92,E00000001,5,-2,6,2,3,5,3,2,2,5,5,3
93,E00000001,5,-2,6,2,3,5,3,2,2,5,4,2
94,E00000001,5,-2,6,4,3,6,3,2,2,8,2,3
95,E00000001,5,-2,6,5,3,6,3,2,2,8,2,1
96,E00000001,5,-2,6,4,3,6,3,2,2,7,2,1
97,E00000001,5,-2,6,2,4,5,3,3,2,5,3,1
98,E00000001,5,-2,6,5,4,6,3,3,2,5,2,1
99,E00000001,5,-2,2,-1,0,5,2,1,2,-1,-1,1
100,E00000001,5,-2,2,-1,0,6,3,1,2,-1,-1,1
101,E00000001,5,-2,2,-1,0,5,2,1,2,-1,-1,1
102,E00000001,5,-2,2,-1,0,5,2,1,2,-1,-1,1
103,E00000001,5,-2,2,-1,0,3,2,1,2,-1,-1,1
104,E00000001,5,-2,5,-1,0,4,3,1,2,-1,-1,1
105,E00000001,5,-2,3,-1,0,4,3,1,2,-1,-1,1
106,E00000001,5,-2,2,-1,0,4,3,1,2,-1,-1,1
107,E00000001,5,-2,2,-1,0,5,3,1,2,-1,-1,1
108,E00000001,5,-2,3,-1,0,6,3,1,2,-1,-1,1
109,E00000001,5,-2,2,-1,0,5,3,1,2,-1,-1,1
110,E00000001,5,-2,5,-1,0,5,2,1,2,-1,-1,1
111,E00000001,5,-2,2,-1,0,5,3,1,2,-1,-1,1
112,E00000001,5,-2,5,-1,0,6,3,1,2,-1,-1,1
113,E00000001,5,-2,3,-1,0,5,3,1,2,-1,-1,1
114,E00000001,5,-2,2,-1,0,6,3,1,2,-1,-1,1
115,E00000003,4,-2,2,1,1,3,3,1,2,8,2,2
116,E00000003,5,-2,2,1,1,3,3,1,2,14,2,2
117,E00000003,5,-2,2,1,1,4,4,1,2,7,2,2
118,E00000003,5,-2,2,1,1,5,1,2,2,5,2,2
119,E00000003,5,-2,2,1,1,5,2,1,2,14,2,2
120,E00000003,5,-2,2,1,1,5,3,1,2,5,2,2
121,E00000003,5,-2,2,1,1,5,3,1,2,14,2,2
122,E00000003,5,-2,2,1,1,5,3,1,2,14,2,1
123,E00000003,5,-2,2,1,1,5,3,1,2,14,2,2
124,E00000003,5,-2,2,1,1,6,1,2,2,7,4,1
125,E00000003,5,-2,2,1,1,6,2,1,2,4,2,1
126,E00000003,5,-2,2,1,1,6,2,1,2,5,2,1
127,E00000003,5,-2,2,1,1,6,3,1,2,5,2,1
128,E00000003,5,-2,2,1,1,6,3,1,2,4,2,2
129,E00000003,5,-2,2,1,1,6,3,1,2,5,2,3
130,E00000003,5,-2,2,1,1,6,3,1,2,4,2,2
131,E00000003,5,-2,2,1,1,6,3,1,2,14,2,2
132,E00000003,4,-2,2,1,1,6,4,1,2,5,2,1
133,E00000003,5,-2,2,1,1,6,4,1,2,14,2,2
134,E00000003,5,-2,2,1,1,6,4,1,2,14,6,1
135,E00000003,5,-2,2,1,1,6,4,1,2,7,2,3
136,E00000003,5,-2,2,2,2,2,1,4,2,8,2,2
137,E00000003,5,-2,2,2,2,2,2,2,2,4,2,1
138,E00000003,5,-2,2,2,2,3,3,2,2,5,2,1
139,E00000003,5,-2,2,4,2,4,4,1,2,8,6,2
140,E00000003,5,-2,2,2,2,4,4,1,2,5,2,2
141,E00000003,4,-2,2,2,2,5,3,2,2,14,2,2
142,E00000003,5,-2,2,2,2,5,3,2,2,8,2,2
143,E00000003,5,-2,2,2,2,5,3,2,2,5,2,2
144,E00000003,5,-2,2,2,2,5,3,2,2,8,2,2
145,E00000003,5,-2,2,2,2,5,4,1,2,14,2,2
146,E00000003,5,-2,2,2,2,6,1,4,2,14,2,2
147,E00000003,5,-2,2,2,2,6,2,2,2,14,2,1
148,E00000003,5,-2,2,2,2,6,3,2,2,5,2,2
149,E00000003,5,-2,2,5,2,6,3,2,2,5,4,1
150,E00000003,4,-2,2,2,2,6,3,2,2,14,2,2
151,E00000003,5,-2,2,2,2,6,3,2,2,14,2,2
152,E00000003,5,-2,2,2,2,6,3,2,2,5,6,1
153,E00000003,5,-2,2,2,2,6,3,2,2,8,2,2
154,E00000003,5,-2,2,2,2,6,3,2,2,7,2,2
155,E00000003,5,-2,2,3,2,6,3,2,2,14,6,1
156,E00000003,5,-2,2,2,2,6,3,2,2,5,4,3
157,E00000003,5,-2,2,4,2,6,3,2,2,8,4,2
158,E00000003,5,-2,2,2,2,6,3,2,2,14,8,2
159,E00000003,5,-2,2,2,2,6,4,1,2,14,2,2
160,E00000003,5,-2,2,2,2,6,4,1,2,8,6,2
161,E00000003,5,-2,2,5,2,6,4,1,2,7,2,3
162,E00000003,5,-2,2,2,2,6,4,1,2,14,2,3
163,E00000003,5,-2,2,2,2,6,4,1,2,5,2,1
164,E00000003,5,-2,2,2,2,6,4,1,2,5,8,1
165,E00000003,5,-2,2,2,2,6,4,1,2,5,2,1
166,E00000003,5,-2,2,2,3,4,4,2,2,5,2,3
167,E00000003,5,-2,2,3,3,5,2,3,2,14,2,1
168,E00000003,4,-2,2,2,3,5,3,2,2,5,2,1
169,E00000003,5,-2,2,2,3,5,3,2,2,14,2,2
170,E00000003,5,-2,2,2,3,6,3,2,2,14,2,3
171,E00000003,5,-2,2,2,3,6,3,2,2,5,2,2
172,E00000003,5,-2,2,2,3,6,3,2,2,8,2,1
173,E00000003,5,-2,2,2,3,6,3,2,2,4,2,1
174,E00000003,5,-2,2,2,3,6,4,2,2,5,6,1
175,E00000003,5,-2,2,2,4,5,3,3,2,5,2,3
176,E00000003,5,-2,2,3,4,6,3,3,2,5,2,2
177,E00000003,5,-2,2,2,4,6,3,3,2,11,2,2
178,E00000003,4,-2,2,2,4,6,3,3,2,14,3,2
179,E00000003,5,-2,3,1,1,4,3,1,2,5,2,2
180,E00000003,5,-2,3,1,1,5,3,1,2,5,2,1
181,E00000003,5,-2,3,1,1,6,2,1,2,8,2,1
182,E00000003,5,-2,3,1,1,6,3,1,2,5,2,2
183,E00000003,4,-2,3,1,1,6,4,1,2,7,2,2
184,E00000003,5,-2,3,2,2,4,4,1,2,5,2,2
185,E00000003,5,-2,3,2,2,5,3,2,2,5,2,2
186,E00000003,5,-2,3,2,2,5,3,2,2,8,2,3
187,E00000003,5,-2,3,2,2,5,3,2,2,8,2,3
188,E00000003,5,-2,3,2,2,5,3,2,2,8,2,1
189,E00000003,5,-2,3,2,2,6,2,2,2,7,2,2
190,E00000003,5,-2,3,2,2,6,2,2,2,5,2,2
191,E00000003,5,-2,3,2,2,6,3,2,2,5,2,2
192,E00000003,5,-2,3,2,2,6,4,1,2,5,2,2
193,E00000003,4,-2,3,2,2,6,4,1,2,8,2,3
194,E00000003,5,-2,3,2,2,6,4,1,2,8,2,2
195,E00000003,5,-2,3,2,3,6,3,2,2,7,2,1
196,E00000003,5,-2,3,2,3,6,3,2,2,8,2,2
197,E00000003,5,-2,3,2,3,6,4,2,2,5,2,3
198,E00000003,5,-2,3,2,3,6,4,2,2,8,2,3
199,E00000003,4,-2,3,2,4,3,3,3,2,5,2,2
200,E00000003,5,-2,3,2,4,5,4,2,2,4,2,2
201,E00000003,5,-2,3,2,4,6,2,4,2,8,2,1
202,E00000003,5,-2,3,2,4,6,4,2,2,5,2,3
203,E00000003,5,-2,3,2,4,6,4,2,2,5,2,2
204,E00000003,5,-2,3,4,4,6,4,2,2,5,2,3
205,E00000003,5,-2,3,2,4,6,4,2,2,8,4,2
206,E00000003,5,-2,3,2,4,6,4,2,2,5,2,2
207,E00000003,5,-2,5,5,2,3,1,4,2,5,2,2
208,E00000003,5,-2,6,1,1,2,2,1,2,8,2,1
209,E00000003,5,-2,6,1,1,4,4,1,2,5,4,1
210,E00000003,5,-2,6,1,1,5,1,2,2,5,4,2
211,E00000003,5,-2,6,1,1,5,3,1,2,5,6,1
212,E00000003,5,-2,6,1,1,6,3,1,2,5,3,1
213,E00000003,5,-2,6,2,2,4,3,2,2,14,2,2
214,E00000003,5,-2,6,5,2,6,2,2,2,9,2,3
215,E00000003,5,-2,6,5,2,6,3,2,2,5,2,2
216,E00000003,5,-2,6,2,2,6,4,1,2,5,8,2
217,E00000003,5,-2,6,5,3,4,4,2,2,5,6,1
218,E00000003,5,-2,6,2,3,6,2,3,2,5,2,3
219,E00000003,5,-2,6,5,3,6,3,2,2,14,6,1
220,E00000003,5,-2,6,2,3,6,4,2,2,5,2,1
221,E00000003,5,-2,6,5,3,6,4,2,2,7,2,1
222,E00000003,5,-2,6,5,3,6,4,2,2,5,2,1
223,E00000003,5,-2,6,5,4,4,4,2,2,5,6,1
224,E00000003,5,-2,6,5,4,5,4,2,2,5,2,2
225,E00000003,5,-2,6,2,4,6,3,3,2,5,2,2
226,E00000003,5,-2,6,3,4,6,4,2,2,5,4,1
227,E00000003,5,-2,2,-1,0,4,4,1,2,-1,-1,1
228,E00000003,5,-2,3,-1,0,4,4,1,2,-1,-1,1
229,E00000003,5,-2,3,-1,0,6,4,1,2,-1,-1,1
230,E00000003,5,-2,3,-1,0,6,4,1,2,-1,-1,1
231,E00000003,5,-2,3,-1,0,6,3,1,2,-1,-1,1
232,E00000003,4,-2,2,-1,0,6,4,1,2,-1,-1,1
233,E00000003,5,-2,6,-1,0,6,3,1,2,-1,-1,1
234,E00000003,4,-2,6,-1,0,6,3,1,2,-1,-1,1
235,E00000003,5,-2,2,-1,0,6,3,1,2,-1,-1,1
236,E00000003,5,-2,6,-1,0,6,3,1,2,-1,-1,1
237,E00000003,5,-2,2,-1,0,6,2,1,2,-1,-1,1
238,E00000003,5,-2,3,-1,0,6,4,1,2,-1,-1,1
239,E00000003,5,-2,3,-1,0,6,2,1,2,-1,-1,1
240,E00000005,5,-2,2,1,1,2,1,2,2,14,2,1
241,E00000005,5,-2,2,1,1,2,1,2,2,8,2,2
242,E00000005,5,-2,2,1,1,2,1,2,2,5,2,2
243,E00000005,5,-2,2,1,1,2,1,2,2,5,2,1
244,E00000005,5,-2,2,1,1,2,1,2,2,7,2,2
245,E00000005,5,-2,2,1,1,2,1,2,2,5,2,1
246,E00000005,5,-2,2,1,1,2,1,2,2,14,2,2
247,E00000005,5,-2,2,1,1,2,1,2,2,14,2,1
248,E00000005,5,-2,2,1,1,2,2,1,2,8,2,3
249,E00000005,5,-2,2,1,1,2,2,1,2,5,2,2
250,E00000005,5,-2,2,1,1,2,2,1,2,14,2,1
251,E00000005,5,-2,2,1,1,3,1,2,2,7,2,1
252,E00000005,5,-2,2,1,1,3,1,2,2,14,2,1
253,E00000005,5,-2,2,1,1,3,1,2,2,4,2,2
254,E00000005,5,-2,2,1,1,3,1,2,2,14,2,2
255,E00000005,5,-2,2,1,1,3,1,2,2,14,2,2
256,E00000005,5,-2,2,1,1,3,1,2,2,5,2,1
257,E00000005,5,-2,2,1,1,3,1,2,2,14,2,1
258,E00000005,5,-2,2,1,1,3,1,2,2,14,8,2
259,E00000005,5,-2,2,1,1,3,1,2,2,8,2,1
260,E00000005,5,-2,2,1,1,3,1,2,2,5,2,3
261,E00000005,5,-2,2,1,1,3,1,2,2,14,2,2
262,E00000005,5,-2,2,1,1,3,1,2,2,4,2,1
263,E00000005,5,-2,2,1,1,3,1,2,2,14,2,2
264,E00000005,5,-2,2,1,1,3,1,2,2,5,3,1
265,E00000005,5,-2,2,1,1,3,1,2,2,5,2,1
266,E00000005,5,-2,2,1,1,3,1,2,2,4,2,2
267,E00000005,5,-2,2,1,1,3,1,2,2,14,2,1
268,E00000005,5,-2,2,1,1,3,1,2,2,7,2,1
269,E00000005,5,-2,2,1,1,3,1,2,2,7,2,2
270,E00000005,5,-2,2,1,1,3,1,2,2,14,4,1
271,E00000005,5,-2,2,1,1,3,1,2,2,14,2,1
272,E00000005,5,-2,2,1,1,3,2,1,2,5,4,3
273,E00000005,5,-2,2,1,1,3,2,1,2,5,2,1
274,E00000005,5,-2,2,1,1,3,2,1,2,8,2,2
275,E00000005,5,-2,2,1,1,3,2,1,2,14,2,2
276,E00000005,5,-2,2,1,1,4,1,2,2,5,4,2
277,E00000005,5,-2,2,1,1,4,1,2,2,5,2,1
278,E00000005,5,-2,2,1,1,4,1,2,2,14,2,1
279,E00000005,5,-2,2,1,1,4,1,2,2,7,2,3
280,E00000005,5,-2,2,1,1,4,1,2,2,5,2,1
281,E00000005,5,-2,2,1,1,4,1,2,2,9,2,2
282,E00000005,5,-2,2,1,1,4,1,2,2,14,2,1
283,E00000005,5,-2,2,1,1,4,1,2,2,14,2,1
284,E00000005,5,-2,2,1,1,4,1,2,2,14,2,1
285,E00000005,5,-2,2,1,1,4,2,1,2,14,2,2
286,E00000005,5,-2,2,1,1,4,3,1,2,14,2,2
287,E00000005,5,-2,2,5,2,1,1,4,2,14,2,1
288,E00000005,5,-2,2,2,2,2,2,2,2,4,2,1
289,E00000005,5,-2,2,2,2,3,1,4,2,5,2,2
290,E00000005,5,-2,2,2,2,3,1,4,2,14,4,3
291,E00000005,5,-2,2,2,2,3,1,4,2,14,2,3
292,E00000005,5,-2,2,2,2,3,1,4,2,14,8,3
293,E00000005,5,-2,2,2,2,3,1,4,2,5,2,1
294,E00000005,5,-2,2,2,2,3,2,2,2,5,2,1
295,E00000005,5,-2,2,3,2,3,2,2,2,5,2,1
296,E00000005,5,-2,2,5,2,3,2,2,2,14,4,2
297,E00000005,5,-2,2,2,2,3,2,2,2,7,4,1
298,E00000005,5,-2,2,2,2,3,2,2,2,5,8,1
299,E00000005,5,-2,2,2,2,4,1,4,2,5,2,1
300,E00000005,5,-2,2,2,2,4,1,4,2,5,2,1
301,E00000005,5,-2,2,2,2,4,1,4,2,18,2,1
302,E00000005,5,-2,2,2,2,4,1,4,2,14,4,1
303,E00000005,5,-2,2,2,2,4,1,4,2,5,4,2
304,E00000005,5,-2,2,4,2,4,2,2,2,5,2,2
305,E00000005,5,-2,2,2,2,4,2,2,2,5,2,2
306,E00000005,5,-2,2,3,2,4,2,2,2,5,2,1
307,E00000005,5,-2,2,2,2,4,2,2,2,8,2,2
308,E00000005,5,-2,2,2,2,4,3,2,2,5,2,2
309,E00000005,5,-2,2,2,2,4,3,2,2,5,2,1
310,E00000005,5,-2,2,2,2,5,1,4,2,7,2,3
311,E00000005,5,-2,2,2,2,5,2,2,2,14,2,1
312,E00000005,5,-2,2,2,2,5,2,2,2,14,2,2
313,E00000005,5,-2,2,5,2,5,2,2,2,4,2,2
314,E00000005,5,-2,2,2,2,5,2,2,2,14,2,2
315,E00000005,5,-2,2,2,2,6,2,2,2,14,2,1
316,E00000005,5,-2,2,2,3,4,1,4,2,14,2,3
317,E00000005,5,-2,2,3,3,4,2,3,2,5,2,2
318,E00000005,5,-2,2,2,3,4,2,3,2,5,2,2
319,E00000005,5,-2,2,5,3,4,2,3,2,5,6,1
320,E00000005,5,-2,2,2,4,5,3,3,2,5,2,1
321,E00000005,5,-2,2,2,4,5,3,3,2,14,2,3
322,E00000005,5,-2,2,2,4,5,4,2,2,14,2,3
323,E00000005,5,-2,3,1,1,1,1,2,2,14,2,1
324,E00000005,5,-2,3,1,1,2,1,2,2,5,2,2
325,E00000005,5,-2,3,1,1,3,1,2,2,5,2,3
326,E00000005,5,-2,3,1,1,3,1,2,2,4,2,1
327,E00000005,5,-2,3,1,1,3,1,2,2,4,2,1
328,E00000005,5,-2,3,1,1,3,1,2,2,8,2,1
329,E00000005,5,-2,3,1,1,3,1,2,2,8,6,3
330,E00000005,5,-2,3,1,1,3,1,2,2,14,2,2
331,E00000005,5,-2,3,1,1,3,1,2,2,5,2,1
332,E00000005,5,-2,3,1,1,3,1,2,2,5,2,2
333,E00000005,5,-2,3,1,1,3,1,2,2,8,6,2
334,E00000005,5,-2,3,1,1,3,1,2,2,5,2,2
335,E00000005,5,-2,3,1,1,3,1,2,2,5,2,3
336,E00000005,5,-2,3,1,1,3,2,1,2,5,3,2
337,E00000005,5,-2,3,1,1,3,2,1,2,8,2,1
338,E00000005,5,-2,3,1,1,3,2,1,2,8,2,1
339,E00000005,5,-2,3,1,1,4,1,2,2,5,4,1
340,E00000005,5,-2,3,1,1,4,1,2,2,8,2,3
341,E00000005,5,-2,3,5,2,1,1,4,2,5,6,3
342,E00000005,5,-2,3,2,2,2,1,4,2,5,2,2
343,E00000005,5,-2,3,2,2,2,2,2,2,5,6,1
344,E00000005,5,-2,3,2,2,2,2,2,2,5,2,2
345,E00000005,5,-2,3,3,2,3,1,4,2,18,4,1
346,E00000005,5,-2,3,2,2,3,1,4,2,8,2,1
347,E00000005,5,-2,3,3,2,3,1,4,2,5,6,1
348,E00000005,5,-2,3,2,2,3,1,4,2,5,2,2
349,E00000005,5,-2,3,3,2,3,1,4,2,4,2,1
350,E00000005,5,-2,3,2,2,3,2,2,2,14,2,1
351,E00000005,5,-2,3,2,2,3,2,2,2,8,2,2
352,E00000005,5,-2,3,2,2,4,1,4,2,8,3,1
353,E00000005,5,-2,3,5,2,4,1,4,2,5,2,3
354,E00000005,5,-2,3,3,2,4,1,4,2,5,2,1
355,E00000005,5,-2,3,2,2,4,1,4,2,8,2,1
356,E00000005,5,-2,3,2,2,4,2,2,2,8,2,1
357,E00000005,5,-2,3,2,2,4,2,2,2,5,3,2
358,E00000005,5,-2,3,2,3,3,3,2,2,5,2,1
359,E00000005,5,-2,3,2,3,4,2,3,2,5,2,1
360,E00000005,5,-2,3,2,3,4,2,3,1,8,2,1
361,E00000005,5,-2,3,2,3,4,2,3,2,5,2,1
362,E00000005,5,-2,3,2,3,4,2,3,2,14,2,2
363,E00000005,5,-2,3,2,3,4,2,3,2,5,2,3
364,E00000005,5,-2,3,3,3,5,2,3,2,5,2,1
365,E00000005,5,-2,3,5,4,4,2,4,2,8,4,1
366,E00000005,5,-2,3,2,4,4,2,4,2,5,2,1
367,E00000005,5,-2,3,2,4,4,2,4,2,5,2,1
368,E00000005,5,-2,3,2,4,5,4,2,2,8,2,1
369,E00000005,5,-2,3,2,4,6,2,4,2,8,2,1
370,E00000005,5,-2,3,2,4,6,2,4,2,5,2,2
371,E00000005,5,-2,5,1,1,1,1,2,2,5,2,1
372,E00000005,5,-2,5,1,1,3,1,2,2,8,2,1
373,E00000005,5,-2,5,1,1,3,1,2,2,5,2,1
374,E00000005,5,-2,5,1,1,3,2,1,2,5,2,1
375,E00000005,5,-2,5,1,1,3,2,1,2,5,2,1
376,E00000005,5,-2,5,1,1,4,1,2,2,14,2,1
377,E00000005,5,-2,5,1,1,4,1,2,2,7,2,1
378,E00000005,5,-2,5,1,1,4,1,2,2,14,2,2
379,E00000005,5,-2,5,4,2,3,1,4,2,5,2,1
380,E00000005,5,-2,5,2,2,3,1,4,2,14,2,2
381,E00000005,5,-2,5,2,2,3,2,2,2,5,2,1
382,E00000005,5,-2,5,5,2,5,3,2,2,7,2,1
383,E00000005,5,-2,5,4,4,6,2,4,2,14,2,1
384,E00000005,5,-2,6,1,1,1,1,2,2,8,2,1
385,E00000005,5,-2,6,1,1,1,1,2,2,5,2,2
386,E00000005,5,-2,6,1,1,1,1,2,2,5,6,1
387,E00000005,5,-2,6,1,1,1,1,2,2,8,4,1
388,E00000005,5,-2,6,1,1,1,1,2,2,5,2,3
389,E00000005,5,-2,6,1,1,1,1,2,2,5,8,1
390,E00000005,5,-2,6,1,1,2,1,2,2,8,3,1
391,E00000005,5,-2,6,1,1,2,1,2,2,5,2,2
392,E00000005,5,-2,6,1,1,2,2,1,2,5,2,1
393,E00000005,5,-2,6,1,1,3,1,2,2,5,5,1
394,E00000005,5,-2,6,1,1,3,1,2,2,5,2,1
395,E00000005,5,-2,6,1,1,3,1,2,2,5,3,1
396,E00000005,5,-2,6,1,1,3,1,2,2,5,2,1
397,E00000005,5,-2,6,1,1,3,1,2,2,8,6,1
398,E00000005,5,-2,6,1,1,3,1,2,2,8,5,1
399,E00000005,5,-2,6,1,1,3,1,2,2,5,4,1
400,E00000005,5,-2,6,1,1,3,1,2,2,8,6,1
401,E00000005,5,-2,6,1,1,3,1,2,2,8,2,1
402,E00000005,5,-2,6,1,1,3,1,2,2,5,2,1
403,E00000005,5,-2,6,1,1,3,1,2,2,8,2,1
404,E00000005,5,-2,6,1,1,3,1,2,2,5,2,1
405,E00000005,5,-2,6,1,1,3,1,2,2,5,2,1
406,E00000005,5,-2,6,1,1,3,1,2,2,8,2,1
407,E00000005,5,-2,6,1,1,3,1,2,2,5,4,2
408,E00000005,5,-2,6,1,1,3,1,2,2,17,6,1
409,E00000005,5,-2,6,1,1,3,1,2,2,17,5,1
410,E00000005,5,-2,6,1,1,3,1,2,2,5,6,1
411,E00000005,5,-2,6,1,1,3,2,1,2,5,2,1
412,E00000005,5,-2,6,1,1,3,2,1,2,8,2,1
413,E00000005,5,-2,6,1,1,3,2,1,2,5,2,1
414,E00000005,5,-2,6,1,1,4,1,2,1,5,2,1
415,E00000005,5,-2,6,1,1,4,1,2,2,5,3,1
416,E00000005,5,-2,6,1,1,4,1,2,2,5,2,1
417,E00000005,5,-2,6,1,1,4,1,2,2,8,4,1
418,E00000005,5,-2,6,1,1,4,2,1,2,8,2,2
419,E00000005,5,-2,6,1,1,4,2,1,2,17,4,1
420,E00000005,5,-2,6,2,2,1,1,4,2,4,6,1
421,E00000005,5,-2,6,2,2,2,1,4,2,5,6,1
